id,Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
1,Port_Nolloth,CoolTemperate,-29.25,16.87,0.0052,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
2,Port_Nolloth,CoolTemperate,-29.25,16.87,0.0012,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
3,Brandsebaai,CoolTemperate,-31.3,17.88,0.0055,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
4,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0046,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
6,Olifants_river,CoolTemperate,-31.71,18.19,0.0026,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
8,Strandfontein,CoolTemperate,-31.75,18.23,3.00E-04,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
9,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0049,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
10,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0254,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
11,Bird_Island,CoolTemperate,-32.09,18.3,0.006,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
12,Elands_Bay,CoolTemperate,-32.32,18.33,0.0015,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
13,Berg_river,CoolTemperate,-32.77,18.14,0.0023,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
14,Kommetjie,CoolTemperate,-34.14,18.32,0.0051,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
15,Alexander_Bay,CoolTemperate,-28.64,16.45,0.02,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
16,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.00636,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
18,Langebaan,CoolTemperate,-33.07,18.04,0.001,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
19,Yzerfontein,CoolTemperate,-33.37,18.16,0.01,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
20,Dassen_Island,CoolTemperate,-33.42,18.09,0.0018,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
21,Rietvlei,CoolTemperate,-33.84,18.49,0.0037,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
23,Mouille_Point,CoolTemperate,-33.9,18.4,0.0136,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
24,Hout_Bay,CoolTemperate,-34.05,18.35,0.0036,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
26,Olifantsbos,SouthWest,-34.26,18.38,0.0015,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
27,False_Bay,SouthWest,-34.24,18.66,0.009,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
28,Wooleys_Pool,SouthWest,-34.13,18.45,0.0056,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
30,Muizenberg,SouthWest,-34.1,18.49,0.07,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
31,Rooiels,SouthWest,-34.3,18.81,0.002,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
32,Cape_Hangklip,SouthWest,-34.39,18.83,0.0027,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
34,Palmiet,SouthWest,-34.34,19,0.0022,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
35,Kleinmond,SouthWest,-34.35,19.02,0.007,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
36,Kleinzee,CoolTemperate,-29.68,17.05,0.03,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
38,Wooleys_Pool,SouthWest,-34.13,18.45,0.00528,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
39,Uilenkraals_River,SouthWest,-34.61,19.41,0.0054,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
40,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.005,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
41,Gansbaai,SouthWest,-34.58,19.34,0.0054,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
42,Alphard_Banks,WarmTemperate,-35.03,20.87,0.006,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
43,De_Hoop,WarmTemperate,-34.46,20.56,0.011,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
44,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.01,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
45,Breede_(Witsand),WarmTemperate,-34.39,20.86,0.0057,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
46,Jongensfontein,WarmTemperate,-34.43,21.33,0.009,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
47,Still_Bay,WarmTemperate,-34.37,21.44,0.0286,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
48,Gouritzmound,WarmTemperate,-34.35,21.88,0.0355,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
49,Mossel_Bay,WarmTemperate,-34.19,22.16,0.0092,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
50,Klein_Brak,WarmTemperate,-34.09,22.15,0.005,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
51,Groot_Brak,WarmTemperate,-34.06,22.23,0.002,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
52,Glentana,WarmTemperate,-34.05,22.32,0.0121,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
53,Herolds_Bay,WarmTemperate,-34.06,22.4,0.09,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
54,Touw_river,WarmTemperate,-34,22.58,0.0019,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
55,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0033,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
56,Swartvlei,WarmTemperate,-34.03,22.78,0.0025,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
57,Goukamma,WarmTemperate,-34.05,22.86,0.003,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
58,Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.0078,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
59,Knysna,WarmTemperate,-34.09,23.09,0.01,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
