Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Substrate,Diet
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.01042,Acanthochiton,garnoti,Aga,Hard,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.004936,Acanthochiton,garnoti,Aga,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.004728,Acanthochiton,garnoti,Aga,Hard,Grazer
Rooiels,SouthWest,-34.3,18.81,0.019586,Acanthochiton,garnoti,Aga,Hard,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.006824,Acanthochiton,garnoti,Aga,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.010509,Acanthochiton,garnoti,Aga,Hard,Grazer
East_London,SubTropical,-33.06,27.87,0.006006,Acanthochiton,garnoti,Aga,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.004153,Acanthochiton,garnoti,Aga,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.004084,Acanthochiton,garnoti,Aga,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.006958,Acanthochiton,garnoti,Aga,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.006656,Acanthochiton,garnoti,Aga,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.006737,Acanthochiton,garnoti,Aga,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.006486,Acanthochiton,garnoti,Aga,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.00173,Afrolittorina,africana,Aaf,Hard,Grazer
Dwesa,SubTropical,-32.27,28.89,0.00072,Afrolittorina,africana,Aaf,Hard,Grazer
Port_Edward,SubTropical,-31.06,30.23,0.00052,Afrolittorina,africana,Aaf,Hard,Grazer
Mhlanga,SubTropical,-29.74,31.08,0.00028,Afrolittorina,africana,Aaf,Hard,Grazer
Sheffield_Beach,SubTropical,-29.49,31.26,0.00079,Afrolittorina,africana,Aaf,Hard,Grazer
Zinkwazi,SubTropical,-29.28,31.44,0.00071,Afrolittorina,africana,Aaf,Hard,Grazer
Lone_Rock,SubTropical,-28.91,31.94,0.00132,Afrolittorina,africana,Aaf,Hard,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.00159,Afrolittorina,africana,Aaf,Hard,Grazer
Cape_Recife,WarmTemperate,-34.03,25.71,4.00E-04,Afrolittorina,africana,Aaf,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0012,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Strandfontein,CoolTemperate,-31.75,18.23,3.00E-04,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.00088,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Ramsgate,SubTropical,-30.87,30.37,0.00036,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Still_Bay,WarmTemperate,-34.37,21.44,0.00088,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,4.00E-04,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Cape_Recife,WarmTemperate,-34.03,25.71,0.00028,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.00119,Afrolittorina,knysnaensis,Akn,Hard,Grazer
Muizenberg,SouthWest,-34.1,18.49,0.07,Bullia,rhodostoma,Brh,Soft,Carnivorous
Bettys_Bay,SouthWest,-34.36,18.92,0.06,Bullia,rhodostoma,Brh,Soft,Carnivorous
Haga_Haga,SubTropical,-32.77,28.23,0.11,Bullia,rhodostoma,Brh,Soft,Carnivorous
Port_St._Johns,SubTropical,-31.63,29.55,0.1,Bullia,rhodostoma,Brh,Soft,Carnivorous
Herolds_Bay,WarmTemperate,-34.06,22.4,0.09,Bullia,rhodostoma,Brh,Soft,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.05,Bullia,rhodostoma,Brh,Soft,Carnivorous
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.06,Bullia,rhodostoma,Brh,Soft,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.07,Bullia,rhodostoma,Brh,Soft,Carnivorous
Wooleys_Pool,SouthWest,-34.13,18.45,0.008,Caffrogobius,caffer,Cca,Hard,Carnivorous
Rooiels,SouthWest,-34.3,18.81,0.011,Caffrogobius,caffer,Cca,Hard,Carnivorous
Gansbaai,SouthWest,-34.58,19.34,0.01,Caffrogobius,caffer,Cca,Hard,Carnivorous
Haga_Haga,SubTropical,-32.77,28.23,0.01,Caffrogobius,caffer,Cca,Hard,Carnivorous
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.01,Caffrogobius,caffer,Cca,Hard,Carnivorous
Jongensfontein,WarmTemperate,-34.43,21.33,0.009,Caffrogobius,caffer,Cca,Hard,Carnivorous
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.01,Caffrogobius,caffer,Cca,Hard,Carnivorous
Herolds_Bay,WarmTemperate,-34.06,22.4,0.009,Caffrogobius,caffer,Cca,Hard,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.011,Caffrogobius,caffer,Cca,Hard,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.009,Caffrogobius,caffer,Cca,Hard,Carnivorous
Port_Shepstone,SubTropical,-30.74,30.46,0.012,Chrysoblephus,puniceus,Cpu,Hard,Carnivorous
Richards_Bay,SubTropical,-28.81,32.09,0.011,Chrysoblephus,puniceus,Cpu,Hard,Carnivorous
Coffee_Bay,SubTropical,-31.99,29.15,0.012,Chrysoblephus,puniceus,Cpu,Hard,Carnivorous
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.005458,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.002503,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Rooiels,SouthWest,-34.3,18.81,0.003935,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.006946,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Munster,SubTropical,-30.99,30.27,0.005539,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Ramsgate,SubTropical,-30.87,30.37,0.00165,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.009197,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.011433,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.018321,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.016884,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Elands_Bay,CoolTemperate,-32.32,18.33,0.0015,Jasus,lalandi,Jla,Hard,Carnivorous
Dassen_Island,CoolTemperate,-33.42,18.09,0.0018,Jasus,lalandi,Jla,Hard,Carnivorous
Hout_Bay,CoolTemperate,-34.05,18.35,0.0036,Jasus,lalandi,Jla,Hard,Carnivorous
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0016,Jasus,lalandi,Jla,Hard,Carnivorous
Olifantsbos,SouthWest,-34.26,18.38,0.0015,Jasus,lalandi,Jla,Hard,Carnivorous
Cape_Hangklip,SouthWest,-34.39,18.83,0.0027,Jasus,lalandi,Jla,Hard,Carnivorous
East_London,SubTropical,-33.06,27.87,4.00E-04,Jasus,lalandi,Jla,Hard,Carnivorous
Langebaan,CoolTemperate,-33.07,18.04,0.013,Lithognathus,lithognathus,Lli,Soft,Carnivorous
False_Bay,SouthWest,-34.24,18.66,0.009,Lithognathus,lithognathus,Lli,Soft,Carnivorous
East_London,SubTropical,-33.06,27.87,0.013,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Coffee_Bay,SubTropical,-31.99,29.15,0.013,Lithognathus,lithognathus,Lli,Soft,Carnivorous
De_Hoop,WarmTemperate,-34.46,20.56,0.011,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.01,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.012,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.013,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Cefani,SubTropical,-32.81,28.14,0.0036,Nassarius,kraussianus,Nkr,Soft,Grazer
Gqunube,SubTropical,-32.94,28.03,0.0024,Nassarius,kraussianus,Nkr,Soft,Grazer
Umganzana,SubTropical,-31.71,29.42,0.0029,Nassarius,kraussianus,Nkr,Soft,Grazer
Richards_Bay,SubTropical,-28.81,32.09,0.0017,Nassarius,kraussianus,Nkr,Soft,Grazer
Kromme,WarmTemperate,-34.15,24.84,0.0017,Nassarius,kraussianus,Nkr,Soft,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0016,Nassarius,kraussianus,Nkr,Soft,Grazer
Brandsebaai,CoolTemperate,-31.3,17.88,0.0055,Oxystele,tigrina,Oti,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.00561,Oxystele,tigrina,Oti,Hard,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.00586,Oxystele,tigrina,Oti,Hard,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.0054,Oxystele,tigrina,Oti,Hard,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.00559,Oxystele,tigrina,Oti,Hard,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.00561,Oxystele,tigrina,Oti,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0049,Oxystele,tigrina,Oti,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0061,Oxystele,tigrina,Oti,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.00635,Oxystele,tigrina,Oti,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0051,Oxystele,tigrina,Oti,Hard,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.0046,Oxystele,tigrina,Oti,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0052,Oxystele,tigrina,Oti,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.00675,Oxystele,tigrina,Oti,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.00529,Oxystele,tigrina,Oti,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0052,Oxystele,tigrina,Oti,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.00528,Oxystele,tigrina,Oti,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.00033,Oxystele,variegata,Ova,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.00122,Oxystele,variegata,Ova,Hard,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.00122,Oxystele,variegata,Ova,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.00348,Oxystele,variegata,Ova,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.00384,Oxystele,variegata,Ova,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.00417,Oxystele,variegata,Ova,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.00583,Oxystele,variegata,Ova,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.00339,Oxystele,variegata,Ova,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.00279,Oxystele,variegata,Ova,Hard,Grazer
Olifants_river,CoolTemperate,-31.71,18.19,0.0026,Palaemon,peringueyi,Ppe,Soft,Grazer
Berg_river,CoolTemperate,-32.77,18.14,0.0023,Palaemon,peringueyi,Ppe,Soft,Grazer
Langebaan,CoolTemperate,-33.07,18.04,6.00E-04,Palaemon,peringueyi,Ppe,Soft,Grazer
Rooiels,SouthWest,-34.3,18.81,0.002,Palaemon,peringueyi,Ppe,Soft,Grazer
Palmiet,SouthWest,-34.34,19,0.0022,Palaemon,peringueyi,Ppe,Soft,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.007,Palaemon,peringueyi,Ppe,Soft,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0084,Palaemon,peringueyi,Ppe,Soft,Grazer
Kidds_Beach,SubTropical,-33.16,27.7,0.0128,Palaemon,peringueyi,Ppe,Soft,Grazer
Nahoon_river,SubTropical,-32.99,27.95,0.0024,Palaemon,peringueyi,Ppe,Soft,Grazer
Kei_river,SubTropical,-32.68,28.39,0.0041,Palaemon,peringueyi,Ppe,Soft,Grazer
Umganzana,SubTropical,-31.71,29.42,8.00E-04,Palaemon,peringueyi,Ppe,Soft,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0044,Palaemon,peringueyi,Ppe,Soft,Grazer
Umzumbe,SubTropical,-30.63,30.54,0.0041,Palaemon,peringueyi,Ppe,Soft,Grazer
Nonoti,SubTropical,-29.33,31.39,0.002,Palaemon,peringueyi,Ppe,Soft,Grazer
Mossel_Bay,WarmTemperate,-34.19,22.16,0.0092,Palaemon,peringueyi,Ppe,Soft,Grazer
Groot_Brak,WarmTemperate,-34.06,22.23,0.002,Palaemon,peringueyi,Ppe,Soft,Grazer
Touw_river,WarmTemperate,-34,22.58,0.0019,Palaemon,peringueyi,Ppe,Soft,Grazer
Swartvlei,WarmTemperate,-34.03,22.78,0.0025,Palaemon,peringueyi,Ppe,Soft,Grazer
Goukamma,WarmTemperate,-34.05,22.86,0.003,Palaemon,peringueyi,Ppe,Soft,Grazer
Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.0078,Palaemon,peringueyi,Ppe,Soft,Grazer
Gamtoos_river,WarmTemperate,-33.98,25.03,0.0019,Palaemon,peringueyi,Ppe,Soft,Grazer
Sundays_river,WarmTemperate,-33.73,25.85,0.0019,Palaemon,peringueyi,Ppe,Soft,Grazer
Bushmans_river,WarmTemperate,-33.7,26.65,9.00E-04,Palaemon,peringueyi,Ppe,Soft,Grazer
Fish_river,WarmTemperate,-33.5,27.14,0.0028,Palaemon,peringueyi,Ppe,Soft,Grazer
Old_womans_river,WarmTemperate,-33.48,27.15,0.001,Palaemon,peringueyi,Ppe,Soft,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0022,Palaemon,peringueyi,Ppe,Soft,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.009,Palaemon,peringueyi,Ppe,Soft,Grazer
Swartkops_River,WarmTemperate,-33.87,25.63,0.01,Palaemon,peringueyi,Ppe,Soft,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0254,Parechinus,angulosus,Pan,Hard,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.0136,Parechinus,angulosus,Pan,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0033,Parechinus,angulosus,Pan,Hard,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0114,Parechinus,angulosus,Pan,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0059,Parechinus,angulosus,Pan,Hard,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.0114,Parechinus,angulosus,Pan,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.0056,Parechinus,angulosus,Pan,Hard,Grazer
Rooiels,SouthWest,-34.3,18.81,0.009,Parechinus,angulosus,Pan,Hard,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.0083,Parechinus,angulosus,Pan,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0058,Parechinus,angulosus,Pan,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0025,Parechinus,angulosus,Pan,Hard,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.0043,Parechinus,angulosus,Pan,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0044,Parechinus,angulosus,Pan,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0043,Parechinus,angulosus,Pan,Hard,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.0062,Parechinus,angulosus,Pan,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0035,Parechinus,angulosus,Pan,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0124,Parechinus,angulosus,Pan,Hard,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.007,Perna,perna,Ppa,Hard,Filter feeder
Gansbaai,SouthWest,-34.58,19.34,0.0084,Perna,perna,Ppa,Hard,Filter feeder
Kidds_Beach,SubTropical,-33.16,27.7,0.0128,Perna,perna,Ppa,Hard,Filter feeder
Haga_Haga,SubTropical,-32.77,28.23,0.0044,Perna,perna,Ppa,Hard,Filter feeder
