"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,73.0000000000003,10.5000000000001,13.3134027322133,4.10083334810204,93.5500000000001,16.91
"Brandsebaai",-31.3,17.88,14.9298154258728,5.32944110298157,169.26,33.9059999999999,13.5316455696203,3.33322785323179,208.977999999999,47.9199999999998
"Lamberts_Bay",-32.09,18.31,14.8651833244324,4.92991922454834,215.617200000002,36.5648000000003,13.3351041376591,3.00416666517655,261.488400000002,46.5324000000002
"Olifants_river",-31.71,18.19,14.8994739624023,5.24482337455749,187.628,31.1256,13.2954464214189,3.16437499438013,228.831200000002,44.7800000000002
"Brandsebaai",-31.3,17.88,14.9298154258728,5.32944110298157,169.26,33.9059999999999,13.5316455696203,3.33322785323179,208.977999999999,47.9199999999998
"Strandfontein",-31.75,18.23,14.8944029808044,5.20810937881469,191.710000000002,31.8900000000004,13.2872641401471,3.14830188031467,235.590000000004,45.3900000000003
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,126.5264,23,13.5190625041723,3.76463542009393,155.590400000002,33.3084000000004
"Lamberts_Bay",-32.09,18.31,14.8651833244324,4.92991922454834,215.617200000002,36.5648000000003,13.3351041376591,3.00416666517655,261.488400000002,46.5324000000002
"Bird_Island",-32.09,18.3,14.865100276947,4.92937166595459,213.906000000002,36.3440000000004,13.3351041376591,3.00416666517655,257.862000000003,46.2420000000003
"Elands_Bay",-32.32,18.33,14.8591818199158,4.79774250793457,244.502800000001,40.4328000000001,13.4470967426095,2.87537633859983,288.044000000003,48.9964000000002
"Berg_river",-32.77,18.14,14.9798565303803,4.70730067443848,255.666,40,14.1435810359749,2.58885135602307,305.500400000001,50.4736
