Site,Bioregion,Lat,Long,pi,Genus,Species,spp,Habitat,Diet
Cape_Recife,WarmTemperate,-34.03,25.71,0.0004,Afrolittorina,africana,Aaf,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0017,Afrolittorina,africana,Aaf,Rocky,Grazer
Dwesa,SubTropical,-32.27,28.89,0.0007,Afrolittorina,africana,Aaf,Rocky,Grazer
Port_Edward,SubTropical,-31.06,30.23,0.0005,Afrolittorina,africana,Aaf,Rocky,Grazer
Mhlanga,SubTropical,-29.74,31.08,0.0003,Afrolittorina,africana,Aaf,Rocky,Grazer
Sheffield_Beach,SubTropical,-29.49,31.26,0.0008,Afrolittorina,africana,Aaf,Rocky,Grazer
Zinkwazi,SubTropical,-29.28,31.44,0.0007,Afrolittorina,africana,Aaf,Rocky,Grazer
Lone_Rock,SubTropical,-28.91,31.94,0.0013,Afrolittorina,africana,Aaf,Rocky,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.0016,Afrolittorina,africana,Aaf,Rocky,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0254,Parechinus,angulosus,Pan,Rocky,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.0136,Parechinus,angulosus,Pan,Rocky,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.0056,Parechinus,angulosus,Pan,Rocky,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0033,Parechinus,angulosus,Pan,Rocky,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0114,Parechinus,angulosus,Pan,Rocky,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0059,Parechinus,angulosus,Pan,Rocky,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.0114,Parechinus,angulosus,Pan,Rocky,Grazer
Rooiels,SouthWest,-34.3,18.81,0.0090,Parechinus,angulosus,Pan,Rocky,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.0083,Parechinus,angulosus,Pan,Rocky,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0058,Parechinus,angulosus,Pan,Rocky,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0044,Parechinus,angulosus,Pan,Rocky,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0043,Parechinus,angulosus,Pan,Rocky,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.0062,Parechinus,angulosus,Pan,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0035,Parechinus,angulosus,Pan,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0124,Parechinus,angulosus,Pan,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0025,Parechinus,angulosus,Pan,Rocky,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.0043,Parechinus,angulosus,Pan,Rocky,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.0100,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Jongensfontein,WarmTemperate,-34.43,21.33,0.0090,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Wooleys_Pool,SouthWest,-34.13,18.45,0.0080,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Rooiels,SouthWest,-34.3,18.81,0.0110,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Gansbaai,SouthWest,-34.58,19.34,0.0100,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0100,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Herolds_Bay,WarmTemperate,-34.06,22.4,0.0090,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.0110,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.0090,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Haga_Haga,SubTropical,-32.77,28.23,0.0100,Caffrogobius,caffer,Cca,Rocky,Carnivorous
Swartkops_River,WarmTemperate,-33.87,25.63,0.0048,Siphonaria,capensis,Sca,Rocky,Grazer
Salt_Rock,SubTropical,-29.5,31.24,0.0033,Siphonaria,capensis,Sca,Rocky,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.0034,Siphonaria,capensis,Sca,Rocky,Grazer
Mhlanga,SubTropical,-29.74,31.08,0.0042,Siphonaria,capensis,Sca,Rocky,Grazer
Blythedale_Beach,SubTropical,-29.37,31.35,0.0030,Siphonaria,capensis,Sca,Rocky,Grazer
Cape_St_Lucia,Tropical,-28.53,32.4,0.0022,Siphonaria,capensis,Sca,Rocky,Grazer
Mission_Rocks,Tropical,-28.28,32.49,0.0036,Siphonaria,capensis,Sca,Rocky,Grazer
Jesser_Point,Tropical,-27.51,32.68,0.0034,Siphonaria,capensis,Sca,Rocky,Grazer
Mabibi,Tropical,-27.41,32.74,0.0058,Siphonaria,capensis,Sca,Rocky,Grazer
